client,job_count,total_amount,avg_amount,min_amount,max_amount
Xerox (UK) Technical***DO NOT INVOICE****,528,17271.45,32.711079545454545,10.0,140.0
Fujitsu Services Limited - Star Trains - ME,329,11612.86,35.29744680851064,10.0,96.34
Verifone UK LTD,450,7735.68,17.1904,1.0,49.2
Fujitsu Services Limited - Star Trains - P2PE,253,7273.56,28.74924901185771,10.0,75.3
Paypoint Network Limited - UK,209,6821.18,32.637224880382774,20.0,150.0
POSTURITE LIMITED,144,5949.52,41.31611111111111,10.0,70.0
Vista Retail Support Limited,309,5157.02,16.68938511326861,10.0,38.68
Computacenter - Kingfisher,168,3205.74,19.08178571428571,8.0,80.0
Computacenter Limited - HSBC,219,3061.58,13.979817351598173,10.0,40.0
Fujitsu Services Limited - Star Trains,162,2957.22,18.25444444444444,10.0,45.0
Computacenter - Astra Zeneca,284,2813.94,9.908239436619718,5.0,15.0
Diebold Nixdorf UK Limited,158,2602.52,16.471645569620254,10.0,45.02
CXM,146,2381.74,16.313287671232874,10.0,70.86
DieboldNixdorf_WIPRO,139,2333.4,16.787050359712232,5.0,50.0
Computacenter Limited,158,1857.67,11.75740506329114,10.0,27.1
Fujitsu Services Limited - Telefonica TC,54,1417.02,26.24111111111111,10.0,73.94
Fujitsu GBL - H&M * DO NOT INVOICE*,78,1329.88,17.049743589743592,15.0,50.0
Fujitsu Services Limited - Telefonica ME,24,935.82,38.9925,10.0,72.38
DHL Supply Chain Limited - RBS,57,913.88,16.03298245614035,5.0,54.86
Pret Tech Mahindra (UK) BAU,52,876.82,16.861923076923077,10.0,53.32
Computacenter Horizon Project,59,829.0,14.05084745762712,10.0,20.0
Secure Retail Limited,54,818.08,15.149629629629631,8.0,27.1
HCL Barclays,53,807.06,15.22754716981132,10.0,40.0
Fujitsu Services Limited - Banks,48,762.86,15.892916666666666,15.0,45.0
Computacenter - Proj Evergreen,48,741.94,15.457083333333335,10.0,42.94
Fujitsu Services Limited - EE,36,561.1,15.586111111111112,10.0,31.54
Fujitsu - Star â€“ TFW - TC,22,515.0,23.40909090909091,15.0,35.0
Computacenter PwC NON TECH EXCHANGE,40,497.5,12.4375,10.0,20.0
NCR TESCO HHT,30,496.0,16.533333333333335,15.0,30.0
Centrex Services,22,461.0,20.954545454545453,10.0,50.0
Smart Capital Technology Ltd,27,425.06,15.742962962962963,12.0,39.92
Computacenter - Morrisons BAU,27,395.96,14.665185185185184,10.0,36.12
Computacenter - KPMG,35,385.0,11.0,10.0,15.0
Fujitsu Services Limited - Vodafone,22,365.82,16.62818181818182,15.0,25.0
PayPoint Network Ltd_Collections,31,335.62,10.826451612903226,7.0,25.62
GE Medical Systems Ltd,18,287.5,15.972222222222221,10.0,25.0
PayPoint Unscheduled,26,283.75,10.913461538461538,10.0,20.0
COMPUTACENTER HSBC â€“ EBBT,17,283.16,16.656470588235294,15.0,25.0
FUJITSU SERVICES LIMITED - BANKS HOME USERS,23,272.0,11.826086956521738,10.0,17.5
Computacenter - BASF,23,240.5,10.456521739130435,10.0,15.0
NEBULA GLOBAL SERVICES LTD,8,232.5,29.0625,15.0,100.0
Computacenter Ltd Tesco Project,9,215.0,23.88888888888889,15.0,50.0
Symec Travis Perkins,13,195.0,15.0,15.0,15.0
Fujitsu Services Limited - Vodafone - ME,8,195.0,24.375,15.0,45.0
Engineer Adjustments,5,195.0,39.0,25.0,55.0
Fujitsu Services Limited - EE - ME,9,190.0,21.11111111111111,15.0,30.0
CXM - Complex,12,187.07999999999998,15.589999999999998,15.0,22.08
