Date,Job Number,Customer,Address,Postcode,Activity,Priority,Source File,Notes
31/12/2024,4052747,Xerox (UK) Technical***DO NOT INVOICE****,"1 Halfords Service Desk, Hindpool Road, Barrow In Furness, Printer B, CUMBRIA",LA14 2NE,REPAIR WITH PARTS,,RUN SHEETS - WARRINGTON - TUESDAY 31st DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/12/2024,4052844,Computacenter Limited - HSBC,"LANCASTER, LANCASHIRE",LA1 1JQ,TECH EXCHANGE,,RUN SHEETS - WARRINGTON - TUESDAY 31st DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/12/2024,4053012,Computacenter - Kingfisher,"1Rosemary Walker, -KINGFISHER INFORMATION, TECHNOLOGY (, Unit 1 Craven Drive Southrings, Busi ness Park Bamber Bridge, Unit 1 Craven Drive Southrings, Busi ness Park Bamber Bridge",PR5 6BZ,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - TUESDAY 31st DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/12/2021,2488931,Fujitsu Services Limited - Wilko (ME),,,,,Runsheet_31-12-21_runs.pdf,Marked as DNCO - no payment on date with other paid jobs
31/10/2024,3988474,Computacenter - Astra Zeneca,"ASTRAZENECA SPEKE, RECEPTION, ASTRAZENECA SPEKE, RECEPTION, PLOT 6, RENAISSANCE WAY, SPEKE, LIVERPOOL",L24 9JW,DELIVERY,ND 1700,RUN SHEETS - WARRINGTON - THURSDAY 31st OCTOBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/10/2022,2957441,CXM,"YEW TREE STORES, MORETON, WIRRAL, PAD2034KT0001016am-9pm, Dave +447980755504 (GPRS) <BR> <a, href=""https://lms.cxmtechservices.net/popups/jobinfo.aspx?jobid=5375777"">Other Info</a>",CH46 9PD,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_31102022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/10/2021,2405537,Lexmark Service Provider,"Central 12 Shopping Centre, ASDA STORES LIMITED, SOUTHPORT",PR9 0TY,CONSUMABLE INSTALL,ND 1700,Runsheet_DanielHanson31102021.pdf,Marked as DNCO - no payment on date with other paid jobs
31/10/2021,2406448,Verifone UK LTD,"LIVERPOOL, LIVERPOOL",L1 8JF,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson31102021.pdf,Marked as DNCO - no payment on date with other paid jobs
31/08/2024,3912480,Centrex Services,"LIDL GREAT BRITAIN LTD, LIDL GREAT BRITAIN LTD, BEEZON ROAD, KENDAL",LA9 6EL,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_31082024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/08/2022,2858841,Fujitsu GBL - H&M * DO NOT INVOICE*,"H & M, 16-17, 20 PEEL AVENUE, THE TRAFFORD CENTRE, MANCHESTER",M17 8BB,,,Runsheet_DanielHanson31082022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2022,2808730,Lexmark Service Provider,"998-990 STOCKPORT ROAD, Customer Services Desk, LEVENSHULME",M19 3NN,CONSUMABLE INSTALL,ND 1700,Runsheet_DanielHanson31072022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2022,2810516,Verifone UK LTD,"MACCLES, CHESHIRE",SK10 1EX,TECH EXCHANGE,ND 1800,Runsheet_DanielHanson31072022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2022,2810520,Verifone UK LTD,"01253 749132STONEGATE - WALKABOUT,, BLACKPO, 1-9 QUEEN STREET, 1-9 QUEEN STREET, LANCASHIRE",FY1 1NL,TECH EXCHANGE,,Runsheet_DanielHanson31072022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2022,2810524,Verifone UK LTD,"01253 738 542PIZZA EXPRESS - 1041 -, LYTHAM",FY8 5EN,TECH EXCHANGE,,Runsheet_DanielHanson31072022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2022,2810533,Fujitsu Services Limited - EE - ME,,,TECH EXCHANGE,,Runsheet_DanielHanson31072022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2022,2810536,Fujitsu Services Limited - Vodafone,,,TECH EXCHANGE,,Runsheet_DanielHanson31072022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2022,2810550,Fujitsu Services Limited - EE - ME,,,TECH EXCHANGE,,Runsheet_DanielHanson31072022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2022,2810579,Fujitsu Services Limited - KFC,,,TECH EXCHANGE,ND 1800,Runsheet_DanielHanson31072022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2021,2290336,Computacenter - Kingfisher,"SCREWFIX, UNIT 1-4, MIDDLETON TRADE PARK, MANCHESTER",M24 1QZ,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson31072021.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2021,2290400,Verifone UK LTD,"WIGAN - 9, 1-3 KING STREET, WIGAN, WIGAN",WN1 1DY,TECH EXCHANGE,ND 1800,Runsheet_DanielHanson31072021.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2021,2290401,Verifone UK LTD,"WIGAN - 9, 1-3 KING STREET, WIGAN, WIGAN",WN1 1DY,TECH EXCHANGE,ND 1800,Runsheet_DanielHanson31072021.pdf,Marked as DNCO - no payment on date with other paid jobs
31/07/2021,2290697,Lantec,"HINDLEY, FAULTY SERIAL",WN2 3AY,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson31072021.pdf,Marked as DNCO - no payment on date with other paid jobs
