job_type,job_count,total_amount,avg_amount,min_amount,max_amount
TECH EXCHANGE,14224,281992.92,19.825149043869516,0.0,150.0
REPAIR WITH PARTS,2823,94219.9,33.37580588026921,0.0,140.0
NON TECH EXCHANGE,2120,24549.64,11.580018867924528,0.0,50.0
CONSUMABLE INSTALL,988,21406.3,21.666295546558704,0.0,75.0
COLLECTION,1680,19735.6,11.74738095238095,0.0,80.0
MANPOWER,817,18395.08,22.515397796817627,0.0,100.0
DELIVERY,910,9884.44,10.862021978021978,0.0,50.0
INSTALL,504,8713.52,17.28873015873016,0.5,49.8
DESK INSTALL,189,7918.36,41.89608465608465,40.0,70.0
REPAIR,172,5781.92,33.61581395348837,12.5,76.5
PROJECT,174,5557.8,31.94137931034483,10.0,87.0
DESK SP INSTALL,121,4972.36,41.09388429752066,10.0,73.66
TECH EXCHANGE_R,249,4724.24,18.97285140562249,10.0,55.0
IMAC COLLECTION,232,3227.6,13.912068965517241,3.0,48.8
MAINT KIT INSTALL,167,2832.44,16.960718562874252,12.5,25.72
TECH EXCHANGE P2PE,144,2349.68,16.31722222222222,8.0,49.76
IMAC DELIVERY,104,1201.0,11.548076923076923,7.0,22.5
INSTALL P2PE,52,889.6,17.107692307692307,10.0,25.0
ENGINEER ADJUSTMENT,12,845.04,70.42,20.0,137.0
MECH REPLACEMENT,16,550.0,34.375,25.0,70.0
MANPOWER_R,22,513.6800000000001,23.34909090909091,12.0,45.84
ENGINEER DAY RATE,8,320.0,40.0,25.0,50.0
DE-INSTALL,6,262.8,43.800000000000004,22.5,63.9
INSTALL SUPPLIES,12,240.0,20.0,20.0,20.0
DE- INSTALL,4,130.0,32.5,25.0,40.0
TECH EXCHANGE - 2HR,2,100.0,50.0,50.0,50.0
ENGINEER TRAINING - 2HR,2,100.0,50.0,50.0,50.0
SOFTWARE INSTALL,2,80.0,40.0,40.0,40.0
SITE TO SITE COLLECTION,8,80.0,10.0,10.0,10.0
TECH EXCHANGE - ASSIST,4,60.0,15.0,15.0,15.0
REPAIR WITH ON SITE PARTS,2,60.0,30.0,30.0,30.0
MANPOWER_R - 2HR,2,60.0,30.0,30.0,30.0
MAINT KIT INSTALL_R - 2HR,2,40.0,20.0,20.0,20.0
IMAC,2,40.0,20.0,20.0,20.0
X015 - NON CHARGEABLE -,2,33.26,16.63,16.63,16.63
REPAIR WITH PARTS_R,2,30.0,15.0,15.0,15.0
SITE TO SITE DELIVERY,2,25.0,12.5,12.5,12.5
VAN STOCK AUDIT,14,0.0,0.0,0.0,0.0
