job_type,job_count,total_amount,avg_amount,min_amount,max_amount
TECH EXCHANGE - ND 1700,953,16262.66,17.06470094438615,5.0,80.0
TECH EXCHANGE - ND 1900,572,14945.62,26.128706293706294,10.0,75.0
TECH EXCHANGE - 4HR,269,9538.72,35.459925650557615,15.0,150.0
REPAIR WITH PARTS - ND FIX,192,6356.04,33.104375,20.0,82.98
TECH EXCHANGE - ND 1800,292,5273.52,18.060000000000002,10.0,49.2
NON TECH EXCHANGE - ND 1700,311,3462.71,11.13411575562701,10.0,38.68
DESK INSTALL - ND 1700,81,3364.5,41.53703703703704,40.0,50.0
TECH EXCHANGE - ND 1600,216,3313.1,15.338425925925925,10.0,40.0
REPAIR WITH PARTS - 8HR,75,2885.7,38.476,20.0,75.0
TECH EXCHANGE - Timed,161,2634.42,16.362857142857145,10.0,41.62
COLLECTION - ND 1700,232,2591.89,11.171939655172412,5.0,34.02
TECH EXCHANGE - Priority MC,104,2452.9,23.585576923076925,10.0,55.0
REPAIR WITH PARTS - 4HR,52,2407.66,46.301153846153845,10.0,140.0
DESK SP INSTALL - ND 1700,57,2310.02,40.526666666666664,10.0,48.52
DELIVERY - ND 1700,200,2094.5,10.4725,5.0,40.0
CONSUMABLE INSTALL - ND 1700,97,1993.04,20.54680412371134,20.0,38.04
TECH EXCHANGE - 8HR,42,1427.78,33.9947619047619,10.0,72.38
MANPOWER - ND 1700,81,1398.0,17.25925925925926,10.0,100.0
TECH EXCHANGE - 6HR,45,1397.48,31.05511111111111,12.5,50.0
MANPOWER - ND 1900,54,1246.4,23.081481481481482,15.0,57.44
INSTALL - ND 1700,79,1245.96,15.771645569620254,10.0,33.04
TECH EXCHANGE_R - ND 1700,66,1022.94,15.49909090909091,10.0,42.94
TECH EXCHANGE P2PE - ND 1700,64,1020.08,15.93875,8.0,40.0
MANPOWER - 4HR,21,890.0,42.38095238095238,15.0,80.0
REPAIR - 8HR,21,855.0,40.714285714285715,35.0,60.0
REPAIR - 4HR,15,624.96,41.664,25.0,60.0
REPAIR WITH PARTS - ND 1700,20,590.0,29.5,15.0,50.0
REPAIR - ND FIX,18,540.0,30.0,15.0,40.0
TECH EXCHANGE - ND 1500,32,537.0,16.78125,15.0,30.0
