Date,Fuel Cost,Millage 
"Tuesday, 5 April 2022",40.00,381
"Wednesday, 6 April 2022",53.00,178
"Thursday, 7 April 2022",0.00,166
"Friday, 8 April 2022",,
"Saturday, 9 April 2022",20.00,83
"Sunday, 10 April 2022",20.00,144
"Monday, 11 April 2022",20.00,179
"Tuesday, 12 April 2022",40.00,325
"Wednesday, 13 April 2022",20.00,50
"Thursday, 14 April 2022",20.00,83
"Friday, 15 April 2022",20.00,60
"Saturday, 16 April 2022",20.00,228
"Sunday, 17 April 2022",0.00,96
"Monday, 18 April 2022",20.00,205
"Tuesday, 19 April 2022",20.00,60
"Wednesday, 20 April 2022",20.00,153
"Thursday, 21 April 2022",20.00,73
"Friday, 22 April 2022",20.00,191
"Saturday, 23 April 2022",20.00,122
"Sunday, 24 April 2022",0.00,0
"Monday, 25 April 2022",20.00,118
"Tuesday, 26 April 2022",0.00,48
"Wednesday, 27 April 2022",20.00,28
"Thursday, 28 April 2022",20.00,98
"Friday, 29 April 2022",,
"Saturday, 30 April 2022",20.00,129
"Sunday, 1 May 2022",20.00,156
"Monday, 2 May 2022",20.00,131
"Tuesday, 3 May 2022",20.00,153
"Wednesday, 4 May 2022",55.00,283
"Thursday, 5 May 2022",0.00,154
"Friday, 6 May 2022",60.00,23
"Saturday, 7 May 2022",0.00,118
"Sunday, 8 May 2022",20.00,141
"Monday, 9 May 2022",30.00,245
"Tuesday, 10 May 2022",20.00,59
"Wednesday, 11 May 2022",20.00,97
"Thursday, 12 May 2022",20.00,143
"Friday, 13 May 2022",20.00,163
"Saturday, 14 May 2022",20.00,98
"Sunday, 15 May 2022",30.00,221
"Monday, 16 May 2022",20.00,104
"Tuesday, 17 May 2022",20.00,97
"Wednesday, 18 May 2022",0.00,75
"Thursday, 19 May 2022",20.00,56
"Friday, 20 May 2022",30.00,167
"Saturday, 21 May 2022",20.00,134
"Sunday, 22 May 2022",56.00,102
"Monday, 23 May 2022",0.00,113
"Tuesday, 24 May 2022",0.00,155
"Wednesday, 25 May 2022",20.00,178
"Thursday, 26 May 2022",60.00,245
"Friday, 27 May 2022",0.00,178
"Saturday, 28 May 2022",56.00,109
"Sunday, 29 May 2022",0.00,233
"Monday, 30 May 2022",0.00,124
"Tuesday, 31 May 2022",61.00,146
"Wednesday, 1 June 2022",0.00,129
"Thursday, 2 June 2022",0.00,56
"Friday, 3 June 2022",0.00,140
"Saturday, 4 June 2022",66.00,126
"Sunday, 5 June 2022",0.00,118
"Monday, 6 June 2022",0.00,0
"Tuesday, 7 June 2022",20.00,223
"Wednesday, 8 June 2022",20.00,105 
"Thursday, 9 June 2022",20.00,132
"Friday, 10 June 2022",20.00,65
"Saturday, 11 June 2022",0.00,0
"Sunday, 12 June 2022",46.50,49
"Monday, 13 June 2022",0.00,20
"Tuesday, 14 June 2022",50.00,322
"Wednesday, 15 June 2022",0.00,120
"Thursday, 16 June 2022",67.00,193
"Friday, 17 June 2022",0.00,94
"Saturday, 18 June 2022",0.00,110
"Sunday, 19 June 2022",67.00,5
"Monday, 20 June 2022",0.00,91
"Tuesday, 21 June 2022",0.00,245
"Wednesday, 22 June 2022",70.00,64
"Thursday, 23 June 2022",0.00,157
"Friday, 24 June 2022",0.00,101
"Saturday, 25 June 2022",0.00,155
"Sunday, 26 June 2022",20.00,90
"Monday, 27 June 2022",71.00,36
"Tuesday, 28 June 2022",0.00,338
"Wednesday, 29 June 2022",20.00,157
"Thursday, 30 June 2022",20.00,173
"Friday, 1 July 2022",71.00,135
"Saturday, 2 July 2022",0.00,132
"Sunday, 3 July 2022",0.00,150
"Monday, 4 July 2022",20.00,92
"Tuesday, 5 July 2022",57.00,316
"Wednesday, 6 July 2022",0.00,130
"Thursday, 7 July 2022",0.00,52
"Friday, 8 July 2022",0.00,0
"Saturday, 9 July 2022",72.00,290
"Sunday, 10 July 2022",0.00,145
"Monday, 11 July 2022",0.00,44
"Tuesday, 12 July 2022",72.00,159
"Wednesday, 13 July 2022",0.00,149
"Thursday, 14 July 2022",0.00,141
"Friday, 15 July 2022",0.00,150
"Saturday, 16 July 2022",,
"Sunday, 17 July 2022",,
"Monday, 18 July 2022",20.00,60
"Tuesday, 19 July 2022",30.00,269
"Wednesday, 20 July 2022",20.00,39
"Thursday, 21 July 2022",20.00,102
"Friday, 22 July 2022",20.00,219
"Saturday, 23 July 2022",72.00,145
"Sunday, 24 July 2022",0.00,71
"Monday, 25 July 2022",0.00,66
"Tuesday, 26 July 2022",20.00,263
"Wednesday, 27 July 2022",0.00,54
"Thursday, 28 July 2022",70.00,140
"Friday, 29 July 2022",0.00,175
"Saturday, 30 July 2022",0.00,100
"Sunday, 31 July 2022",63.00,160
"Monday, 1 August 2022",0.00,112
"Tuesday, 2 August 2022",0.00,86
"Wednesday, 3 August 2022",0.00,99
"Thursday, 4 August 2022",72.00,268
"Friday, 5 August 2022",0.00,51
"Saturday, 6 August 2022",0.00,140
"Sunday, 7 August 2022",0.00,0
"Monday, 8 August 2022",68.00,142
"Tuesday, 9 August 2022",0.00,120
"Wednesday, 10 August 2022",0.00,95
"Thursday, 11 August 2022",0.00,98
"Friday, 12 August 2022",20.00,50
"Saturday, 13 August 2022",68.00,200
"Sunday, 14 August 2022",0.00,186
"Monday, 15 August 2022",20.00,217
"Tuesday, 16 August 2022",20.00,73
"Wednesday, 17 August 2022",20.00,120
"Thursday, 18 August 2022",20.00,92
"Friday, 19 August 2022",0.00,109
"Saturday, 20 August 2022",20.00,150
"Sunday, 21 August 2022",20.00,115
"Monday, 22 August 2022",50.00,245
"Tuesday, 23 August 2022",67.00,115
"Wednesday, 24 August 2022",0.00,60
"Thursday, 25 August 2022",0.00,P
"Friday, 26 August 2022",0.00,109
"Saturday, 27 August 2022",0.00,128
"Sunday, 28 August 2022",20.00,105
"Monday, 29 August 2022",68.00,340
"Tuesday, 30 August 2022",0.00,49
"Wednesday, 31 August 2022",74.00,128
"Thursday, 1 September 2022",0.00,97
"Friday, 2 September 2022",0.00,105
"Saturday, 3 September 2022",0.00,166
"Sunday, 4 September 2022",20.00,126
"Monday, 5 September 2022",20.00,82
"Tuesday, 6 September 2022",70.00,301
"Wednesday, 7 September 2022",0.00,92
"Thursday, 8 September 2022",0.00,160
"Friday, 9 September 2022",0.00,55
"Saturday, 10 September 2022",76.00,100
"Sunday, 11 September 2022",,135
"Monday, 12 September 2022",0.00,135 / 369
"Tuesday, 13 September 2022",0.00,70
"Wednesday, 14 September 2022",80.00,70
"Thursday, 15 September 2022",0.00,102
"Friday, 16 September 2022",0.00,102
"Saturday, 17 September 2022",20.00,227
"Sunday, 18 September 2022",75.00,145
"Monday, 19 September 2022",0.00,56
"Tuesday, 20 September 2022",0.00,208
"Wednesday, 21 September 2022",65.00,420
"Thursday, 22 September 2022",88.00,155
"Friday, 23 September 2022",0.00,396
"Saturday, 24 September 2022",0.00,115
"Sunday, 25 September 2022",77.00,188
"Monday, 26 September 2022",0.00,72
"Tuesday, 27 September 2022",0.00,153
"Wednesday, 28 September 2022",20.00,111
"Thursday, 29 September 2022",20.00,89
"Friday, 30 September 2022",70.00,267
"Saturday, 1 October 2022",0.00,98
"Sunday, 2 October 2022",0.00,62
"Monday, 3 October 2022",0.00,40
"Tuesday, 4 October 2022",80.00,115
"Wednesday, 5 October 2022",0.00,100
"Thursday, 6 October 2022",0.00,173
"Friday, 7 October 2022",20.00,131
"Saturday, 8 October 2022",20.00,141
"Sunday, 9 October 2022",0.00,40
"Monday, 10 October 2022",25.00,220
"Tuesday, 11 October 2022",30.00,160
"Wednesday, 12 October 2022",80.00,256
"Thursday, 13 October 2022",0.00,171
"Friday, 14 October 2022",0.00,0
"Saturday, 15 October 2022",0.00,218
"Sunday, 16 October 2022",0.00,
"Monday, 17 October 2022",80.00,176
"Tuesday, 18 October 2022",0.00,99
"Wednesday, 19 October 2022",0.00,152
"Thursday, 20 October 2022",20.00,46
"Friday, 21 October 2022",20.00,136
"Saturday, 22 October 2022",68.00,367
"Sunday, 23 October 2022",20.00,126
"Monday, 24 October 2022",20.00,99
"Tuesday, 25 October 2022",20.00,108
"Wednesday, 26 October 2022",20.00,152
"Thursday, 27 October 2022",70.00,200
"Friday, 28 October 2022",0.00,65
"Saturday, 29 October 2022",0.00,209
"Sunday, 30 October 2022",20.00,34
"Monday, 31 October 2022",20.00,116
"Tuesday, 1 November 2022",20.00,116
"Wednesday, 2 November 2022",20.00,105
"Thursday, 3 November 2022",69.00,142
"Friday, 4 November 2022",0.00,164
"Saturday, 5 November 2022",0.00,164
"Sunday, 6 November 2022",0.00,124
"Monday, 7 November 2022",68.00,118
"Tuesday, 8 November 2022",0.00,102
"Wednesday, 9 November 2022",0.00,160
"Thursday, 10 November 2022",67.00,260
"Friday, 11 November 2022",0.00,108
"Saturday, 12 November 2022",0.00,0
"Sunday, 13 November 2022",0.00,108
"Monday, 14 November 2022",20.00,171
"Tuesday, 15 November 2022",70.00,47
"Wednesday, 16 November 2022",0.00,111
"Thursday, 17 November 2022",0.00,103
"Friday, 18 November 2022",0.00,52
"Saturday, 19 November 2022",20.00,215
"Sunday, 20 November 2022",,
"Monday, 21 November 2022",,
"Tuesday, 22 November 2022",68.00,124
"Wednesday, 23 November 2022",0.00,69
"Thursday, 24 November 2022",0.00,276
"Friday, 25 November 2022",76.00,20
"Saturday, 26 November 2022",0.00,146
"Sunday, 27 November 2022",0.00,96
"Monday, 28 November 2022",0.00,192
"Tuesday, 29 November 2022",0.00,50
"Wednesday, 30 November 2022",76.00,168
"Thursday, 1 December 2022",0.00,227
"Friday, 2 December 2022",0.00,103
"Saturday, 3 December 2022",74.00,150
"Sunday, 4 December 2022",0.00,161
"Monday, 5 December 2022",0.00,263
"Tuesday, 6 December 2022",76.00,33
"Wednesday, 7 December 2022",0.00,122
"Thursday, 8 December 2022",0.00,74
"Friday, 9 December 2022",0.00,152
"Saturday, 10 December 2022",20.00,280
"Sunday, 11 December 2022",20.00,135
"Monday, 12 December 2022",20.00,169
"Tuesday, 13 December 2022",72.00,56
"Wednesday, 14 December 2022",0.00,77
"Thursday, 15 December 2022",0.00,250
"Friday, 16 December 2022",20.00,105
"Saturday, 17 December 2022",0.00,80
"Sunday, 18 December 2022",73.00,111
"Monday, 19 December 2022",0.00,28
