Job Number,Client,Location,Postcode,Job Type,Date,Time,Amount,Rate,Units,Agency,Week Number,Tax Year,Pay Date
4271821,Paypoint Network Limited - UK,JULES NEWS,L25 9ND,TECH EXCHANGE,23/10/25,10:23,25.0,25.0,1.0,TVS,32,2025,
4269797,Fujitsu Services Limited - Star Trains - P2PE,TRANSPORT FOR WALES (Machynlleth),SY20 8BL,TECH EXCHANGE,,,75.0,75.0,1.0,TVS,32,2025,
4269796,Fujitsu Services Limited - Star Trains - P2PE,TRANSPORT FOR WALES (Machynlleth),SY20 8BL,TECH EXCHANGE,,,75.0,75.0,1.0,TVS,32,2025,
4269794,Fujitsu Services Limited - Star Trains - P2PE,TRANSPORT FOR WALES (Machynlleth),SY20 8BL,TECH EXCHANGE,,,100.0,100.0,1.0,TVS,32,2025,
4268942,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,L1 1JF,MANPOWER,20/10/25,10:50,15.0,15.0,1.0,TVS,32,2025,
4267641,Paypoint Network Limited - UK,CALIFORNIA WINES,M40 9WT,TECH EXCHANGE,17/10/25,09:00,30.0,30.0,1.0,TVS,31,2025,
4267620,Paypoint Network Limited - UK,CALIFORNIA WINES,M40 9WT,TECH EXCHANGE,17/10/25,09:57,10.0,10.0,1.0,TVS,31,2025,
4265701,Paypoint Network Limited - UK,COSTCUTTER SUPERMARKET,WN2 2ET,TECH EXCHANGE,15/10/25,10:06,30.0,30.0,1.0,TVS,31,2025,
4264753,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,BL7 9AG,COLLECTION,15/10/25,09:00,10.0,10.0,1.0,TVS,31,2025,
4264673,Paypoint Network Limited - UK,JULES NEWS,L25 9ND,TECH EXCHANGE,14/10/25,11:44,30.0,30.0,1.0,TVS,31,2025,
4263714,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,PR8 2LN,TECH EXCHANGE,13/10/25,11:13,30.0,30.0,1.0,TVS,31,2025,
4263131,Paypoint Network Limited - UK,THE CRESCENT LOCAL,L20 0DX,TECH EXCHANGE,12/10/25,09:55,40.0,40.0,1.0,TVS,31,2025,
4262274,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,PR8 3HJ,TECH EXCHANGE,10/10/25,08:47,48.34,48.34,1.0,TVS,30,2025,
4262209,Fujitsu Services Limited - Star Trains - P2PE,Northern Rail - STAR,OL14 7AA,TECH EXCHANGE,10/10/25,08:00,10.0,10.0,1.0,TVS,30,2025,
4261575,Paypoint Network Limited - UK,SHG CONVENIENCE STORE,M40 3GP,TECH EXCHANGE,09/10/25,11:31,25.0,25.0,1.0,TVS,30,2025,
4259415,Computacenter Limited,Manchester Westminster House,M1 3HU,NON TECH EXCHANGE,07/10/25,08:00,10.0,10.0,1.0,TVS,30,2025,
4258082,Computacenter - Kingfisher,B & Q PLC,OL7 0DN,TECH EXCHANGE,06/10/25,08:00,20.0,20.0,1.0,TVS,30,2025,
4257547,EPAY Limited,SAI SHAKTI GROUP LIMITED T/A S,CH7 6LQ,TECH EXCHANGE,03/10/25,14:19,56.56,56.56,1.0,TVS,30,2025,
4257156,Paypoint Network Limited - UK,SMITHDOWN CONVENIENCE STORE,L15 5AJ,TECH EXCHANGE,03/10/25,09:15,30.0,30.0,1.0,TVS,29,2025,
4255330,Xerox (UK) Technical***DO NOT INVOICE****,Everything Everywhere Limited,M1 1WR,REPAIR WITH PARTS,01/10/25,10:40,56.16,56.16,1.0,TVS,29,2025,
4254170,Computacenter - Astra Zeneca,Astrazeneca Speke Reception.,L24 9JW,NON TECH EXCHANGE,01/10/25,09:00,10.0,10.0,1.0,TVS,29,2025,
4252830,Paypoint Network Limited - UK,BEST-ONE,WA10 4HA,TECH EXCHANGE,28/09/25,11:11,35.0,35.0,1.0,TVS,29,2025,
4252508,Computacenter - Kingfisher,SCREWFIX,WA11 9SJ,MANPOWER,27/09/25,09:00,25.0,25.0,1.0,TVS,28,2025,
4252445,Vista Retail Support Limited,MCDONALDS - NCR,CW11 2FZ,NON TECH EXCHANGE,26/09/25,16:42,25.0,25.0,1.0,TVS,28,2025,
4252185,DieboldNixdorf_WIPRO,WIPRO LIMITED,SK8 3BZ,TECH EXCHANGE P2PE,26/09/25,13:45,25.0,25.0,1.0,TVS,28,2025,
4248007,Paypoint Network Limited - UK,SAMCO EXPRESS,WA15 6RZ,TECH EXCHANGE,22/09/25,10:45,40.0,40.0,1.0,TVS,28,2025,
